NOC,Description,NOC_Description,Industry,Variable,Geographic Area,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
#T,Total,#TTotal,All Industries,Labour Force Demand,British Columbia,2442745,2469211,2496084,2525077,2553375,2582398,2613140,2644389,2673957,2705483,2734637
#T,Total,#TTotal,All Industries,Labour Force Demand,Mainland South West,1548990,1567309,1583312,1602420,1621523,1642220,1665685,1688326,1708384,1729345,1748849
#T,Total,#TTotal,All Industries,Labour Force Demand,Vancouver Island Coast,378709,384318,388072,391014,394940,398226,401758,406280,411360,416843,422081
#T,Total,#TTotal,All Industries,Labour Force Demand,North,173207,172052,174197,176437,178173,179308,179821,180515,181120,181460,181349
#T,Total,#TTotal,All Industries,Labour Force Demand,South East,341839,345532,350503,355205,358739,362644,365876,369268,373093,377834,382358
#T,Total,#TTotal,All Industries,Labour Force Supply,British Columbia,2457600,2487765,2516871,2549754,2584785,2614785,2643145,2670661,2696054,2721441,2745080
#T,Total,#TTotal,All Industries,Labour Force Supply,Mainland South West,1561300,1582214,1605519,1631906,1659564,1683159,1703628,1721140,1735642,1750093,1763596
#T,Total,#TTotal,All Industries,Labour Force Supply,Vancouver Island Coast,381200,385103,387324,389968,392719,395025,398719,403560,408622,414055,419310
#T,Total,#TTotal,All Industries,Labour Force Supply,North,173500,174715,175572,176363,177602,178366,179047,179989,180975,181639,181936
#T,Total,#TTotal,All Industries,Labour Force Supply,South East,341600,345732,348456,351517,354901,358235,361751,365971,370815,375654,380239
#T,Total,#TTotal,All Industries,Supply less Demand,British Columbia,14855,18554,20786,24678,31410,32387,30006,26272,22097,15958,10444
#T,Total,#TTotal,All Industries,Supply less Demand,Mainland South West,12310,14906,22206,29486,38041,40939,37943,32815,27257,20748,14747
#T,Total,#TTotal,All Industries,Supply less Demand,Vancouver Island Coast,2491,785,-748,-1046,-2222,-3200,-3039,-2720,-2737,-2789,-2771
#T,Total,#TTotal,All Industries,Supply less Demand,North,293,2662,1375,-74,-571,-942,-774,-526,-145,178,587
#T,Total,#TTotal,All Industries,Supply less Demand,South East,-239,200,-2046,-3688,-3838,-4410,-4125,-3297,-2278,-2181,-2119
#0011,"Legislators											","#0011Legislators											",All Industries,Labour Force Demand,British Columbia,618,638,649,659,666,672,678,684,693,701,709
#0011,"Legislators											","#0011Legislators											",All Industries,Labour Force Demand,Mainland South West,228,231,233,235,237,240,242,244,247,249,252
#0011,"Legislators											","#0011Legislators											",All Industries,Labour Force Demand,Vancouver Island Coast,163,167,169,170,171,172,173,175,177,179,182
#0011,"Legislators											","#0011Legislators											",All Industries,Labour Force Demand,North,80,78,79,79,80,81,81,82,83,83,83
#0011,"Legislators											","#0011Legislators											",All Industries,Labour Force Demand,South East,147,162,170,174,177,179,182,184,187,189,192
#0011,"Legislators											","#0011Legislators											",All Industries,Labour Force Supply,British Columbia,627,641,651,660,668,674,680,686,694,702,709
#0011,"Legislators											","#0011Legislators											",All Industries,Labour Force Supply,Mainland South West,232,233,236,239,243,246,248,249,251,252,254
#0011,"Legislators											","#0011Legislators											",All Industries,Labour Force Supply,Vancouver Island Coast,165,167,168,170,170,170,171,173,176,178,180
#0011,"Legislators											","#0011Legislators											",All Industries,Labour Force Supply,North,81,79,79,79,80,81,81,82,83,83,84
#0011,"Legislators											","#0011Legislators											",All Industries,Labour Force Supply,South East,149,161,168,172,175,177,179,182,185,188,191
#0011,"Legislators											","#0011Legislators											",All Industries,Supply less Demand,British Columbia,9,3,2,2,3,2,2,2,2,1,0
#0011,"Legislators											","#0011Legislators											",All Industries,Supply less Demand,Mainland South West,4,3,3,4,6,6,6,5,4,3,2
#0011,"Legislators											","#0011Legislators											",All Industries,Supply less Demand,Vancouver Island Coast,2,0,0,0,-1,-1,-1,-1,-1,-1,-1
#0011,"Legislators											","#0011Legislators											",All Industries,Supply less Demand,North,1,1,1,0,0,0,0,0,0,0,0
#0011,"Legislators											","#0011Legislators											",All Industries,Supply less Demand,South East,2,-1,-2,-2,-2,-2,-2,-2,-1,-1,-1
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Labour Force Demand,British Columbia,1481,1521,1540,1557,1572,1587,1601,1617,1636,1655,1675
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Labour Force Demand,Mainland South West,706,726,734,742,752,762,769,777,785,794,803
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Labour Force Demand,Vancouver Island Coast,567,579,584,589,591,593,597,604,612,620,628
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Labour Force Demand,North,95,95,97,98,99,100,100,101,102,102,103
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Labour Force Demand,South East,113,121,126,128,130,132,133,135,137,139,141
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Labour Force Supply,British Columbia,1505,1530,1549,1568,1585,1599,1612,1627,1643,1660,1677
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Labour Force Supply,Mainland South West,720,733,744,756,769,780,787,792,798,804,810
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Labour Force Supply,Vancouver Island Coast,575,580,583,587,588,589,593,600,608,616,624
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Labour Force Supply,North,96,96,97,98,99,99,100,101,102,102,103
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Labour Force Supply,South East,114,121,125,127,129,130,132,134,136,138,140
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Supply less Demand,British Columbia,24,9,9,11,13,12,12,10,8,5,2
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Supply less Demand,Mainland South West,14,6,10,14,18,19,18,16,13,10,7
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Supply less Demand,Vancouver Island Coast,8,1,-1,-2,-3,-4,-4,-4,-4,-4,-4
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Supply less Demand,North,1,1,1,0,0,-1,0,0,0,0,0
#0012,"Senior government managers and officials								","#0012Senior government managers and officials								",All Industries,Supply less Demand,South East,1,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Labour Force Demand,British Columbia,6894,6969,7117,7264,7419,7550,7711,7865,8004,8147,8286
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Labour Force Demand,Mainland South West,5410,5495,5619,5746,5873,5988,6131,6266,6384,6502,6615
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Labour Force Demand,Vancouver Island Coast,934,941,961,975,996,1010,1025,1039,1056,1074,1093
#0013,"Senior managers - financial, communications and other business services				","#0013Senior managers - financial, communications and other business services				",All Industries,Labour Force Demand,North,64,65,65,66,66,66,66,66,66,66,66
